ticker,start,end,rule,cik,price_symbol,price_source,status,note
ANTM,2002-07-25,2022-06-28,R2,1156039,ELV,yfinance,OK,Elevance Health · 후보1→정기보고서 있는 1
AON,1996-04-23,,R1,315293,AON,yfinance,OK,위키 CIK 일치
AOS,2017-07-26,,R1,91142,AOS,yfinance,OK,위키 CIK 일치
APA,1997-07-28,,R1,1841666,APA,yfinance,OK,위키 CIK 일치
APC,1997-07-28,2019-08-09,R5,,,,UNREACHABLE,Tiingo 기간 2026-02-12~2026-09-24 이 구간을 못 덮음(재사용·잘림)
APD,1996-01-02,,R1,2969,APD,yfinance,OK,위키 CIK 일치
APH,2008-09-30,,R1,820313,APH,yfinance,OK,위키 CIK 일치
APO,2024-12-23,,R1,1858681,APO,yfinance,OK,위키 CIK 일치
APP,2025-09-22,,R1,1751008,APP,yfinance,OK,위키 CIK 일치
APTV,2012-12-24,,R1,1521332,APTV,yfinance,OK,위키 CIK 일치
ARE,2017-03-20,,R1,1035443,ARE,yfinance,OK,위키 CIK 일치
ARES,2025-12-11,,R1,1176948,ARES,yfinance,OK,위키 CIK 일치
ARG,2009-09-09,2016-05-23,R3,804212,ARG,tiingo,OK,Airgas Inc · 후보1→정기보고서 있는 1
ARNC,1996-01-02,2020-04-06,R2,4281,HWM,yfinance,OK,Howmet Aerospace · 후보1→정기보고서 있는 1
ATO,2019-02-15,,R1,731802,ATO,yfinance,OK,위키 CIK 일치
ATVI,2015-08-31,2023-10-18,R3,718877,ATVI,tiingo,OK,Activision Blizzard Inc · 후보1→정기보고서 있는 1
AVB,2007-01-10,2026-08-18,R3,915912,AVB,tiingo,OK,Avalonbay Communities Inc · 후보1→정기보고서 있는 1
AVGO,2014-05-08,,R1,1730168,AVGO,yfinance,OK,위키 CIK 일치
AVY,1996-01-02,,R1,8818,AVY,yfinance,OK,위키 CIK 일치
AWK,2016-03-04,,R1,1410636,AWK,yfinance,OK,위키 CIK 일치
AXON,2023-05-04,,R1,1069183,AXON,yfinance,OK,위키 CIK 일치
AXP,1996-01-02,,R1,4962,AXP,yfinance,OK,위키 CIK 일치
AYI,2016-05-03,2018-06-18,R3,1144215,AYI,tiingo,OK,Acuity Brands Inc · 후보1→정기보고서 있는 1
AZO,1997-01-02,,R1,866787,AZO,yfinance,OK,위키 CIK 일치
BA,1996-01-02,,R1,12927,BA,yfinance,OK,위키 CIK 일치
BAC,1996-01-02,,R1,70858,BAC,yfinance,OK,위키 CIK 일치
BALL,2022-05-10,,R1,9389,BALL,yfinance,OK,위키 CIK 일치
BAX,1996-01-02,,R1,10456,BAX,yfinance,OK,위키 CIK 일치
BBBY,1999-10-01,2017-07-26,R4,886158,BBBYQ,tiingo,OK,Bed Bath & Beyond Inc · 후보1→정기보고서 있는 1
BBT,1997-12-04,2019-12-09,R2,92230,TFC,yfinance,OK,Truist Financial · 후보1→정기보고서 있는 1
BBWI,2021-08-03,2024-10-01,R3,701985,BBWI,tiingo,OK,Bath & Body Works Inc · 후보2→정기보고서 있는 1
BBY,1999-06-30,,R1,764478,BBY,yfinance,OK,위키 CIK 일치
BCR,1996-01-02,2017-12-29,R3,9892,BCR,tiingo,OK,수동: C.R. Bard — SEC 이름이 도치형 BARD C R INC /NJ/ 라 정규화로 못 맞춤(BD 2017-12 인수)
BDX,1996-01-02,,R1,10795,BDX,yfinance,OK,위키 CIK 일치
BEN,1998-04-29,,R1,38777,BEN,yfinance,OK,위키 CIK 일치
BF-B,1996-01-02,,R1,14693,BF-B,yfinance,OK,위키 CIK 일치
BG,2023-03-15,,R1,1996862,BG,yfinance,OK,위키 CIK 일치
BHF,2017-08-07,2019-04-02,R3,1685040,BHF,tiingo,OK,Brighthouse Financial Inc · 후보1→정기보고서 있는 1
BHGE,1996-01-02,2019-10-18,R2,808362,BKR,yfinance,OK,Baker Hughes · 후보2→정기보고서 최다 22건(차순 11)
BIIB,2003-11-13,,R1,875045,BIIB,yfinance,OK,위키 CIK 일치
BIO,2020-06-22,2024-09-23,R3,12208,BIO,tiingo,OK,Bio-Rad Laboratories Inc - Class A · 후보1→정기보고서 있는 1
BK,1996-01-02,2026-05-21,R2,1390777,BNY,yfinance,OK,BNY · 후보1→정기보고서 있는 1
BKNG,2009-11-06,,R1,1075531,BKNG,yfinance,OK,위키 CIK 일치
BKR,2019-10-18,,R1,1701605,BKR,yfinance,OK,위키 CIK 일치
BLDR,2023-12-18,,R1,1316835,BLDR,yfinance,OK,위키 CIK 일치
BLK,2011-04-04,,R1,2012383,BLK,yfinance,OK,위키 CIK 일치
BLL,1996-01-02,2022-05-10,R2,9389,BALL,yfinance,OK,Ball Corp · 후보5→정기보고서 있는 1
BMY,1996-01-02,,R1,14272,BMY,yfinance,OK,위키 CIK 일치
BNY,2026-05-21,,R1,1390777,BNY,yfinance,OK,위키 CIK 일치
BR,2018-06-18,,R1,1383312,BR,yfinance,OK,위키 CIK 일치
BRCM,2000-07-03,2016-02-01,R3,1054374,BRCM,tiingo,OK,Broadcom Corp · 후보2→정기보고서 최다 4건(차순 1)
BRK-B,2010-02-16,,R1,1067983,BRK-B,yfinance,OK,위키 CIK 일치
BRO,2021-09-20,,R1,79282,BRO,yfinance,OK,위키 CIK 일치
BSX,1996-01-02,,R1,885725,BSX,yfinance,OK,위키 CIK 일치
BWA,2011-12-19,2025-03-24,R3,908255,BWA,tiingo,OK,BorgWarner Inc · 후보1→정기보고서 있는 1
BX,2023-09-18,,R1,1393818,BX,yfinance,OK,위키 CIK 일치
BXLT,2015-07-01,2016-06-03,R3,1620546,BXLT,tiingo,OK,Baxalta Inc · 후보1→정기보고서 있는 1
BXP,2006-04-03,,R1,1037540,BXP,yfinance,OK,위키 CIK 일치
C,1996-01-02,,R1,831001,C,yfinance,OK,위키 CIK 일치
CA,1996-01-02,2018-11-06,R5,,,,UNREACHABLE,Tiingo 기간 2023-12-14~2026-09-24 이 구간을 못 덮음(재사용·잘림)
CAG,1996-01-02,2026-06-30,R3,23217,CAG,tiingo,OK,Conagra Brands Inc · 후보1→정기보고서 있는 1
CAH,1997-05-27,,R1,721371,CAH,yfinance,OK,위키 CIK 일치
CAM,2008-01-29,2016-04-04,R3,941548,CAM,tiingo,OK,수동: Tiingo 메타 이름이 지금 ETF(AB California Muni)이나 기간은 Cameron International(SLB 가 2016-04 인수). SEC CAMERON INTERNATIONAL CORP
CARR,2020-04-03,,R1,1783180,CARR,yfinance,OK,위키 CIK 일치
CASY,2026-04-09,,R1,726958,CASY,yfinance,OK,위키 CIK 일치
CAT,1996-01-02,,R1,18230,CAT,yfinance,OK,위키 CIK 일치
CB,1996-01-02,,R1,896159,CB,yfinance,OK,위키 CIK 일치
CBOE,2017-03-01,,R1,1374310,CBOE,yfinance,OK,위키 CIK 일치
CBRE,2006-11-10,,R1,1138118,CBRE,yfinance,OK,위키 CIK 일치
CBS,1996-01-02,2019-12-05,R2,813828,,,UNREACHABLE,수동: Paramount Global 이력은 Tiingo PARA(지금 Banzai International 2021~)·PSKY(2025-08~) 어디에도 없다
CCE,1998-10-08,2016-05-31,R5,,,,UNREACHABLE,Tiingo 기간 ~ 이 구간을 못 덮음(재사용·잘림)
CCEP,2016-01-04,2016-05-31,R3,,,,UNREACHABLE,수동: fja 에 CCE(~2016-05-31)와 겹쳐 적힌 구간 — 옛 Coca-Cola Enterprises 가격은 없음(CCE UNREACHABLE 과 같은 회사)
CCI,2012-03-13,,R1,1051470,CCI,yfinance,OK,위키 CIK 일치
CCL,1998-12-22,,R1,815097,CCL,yfinance,OK,위키 CIK 일치
CDAY,2021-09-20,2024-02-01,R2,1725057,DAY,tiingo,OK,Dayforce · 후보2→정기보고서 있는 1
CDNS,2017-09-18,,R1,813672,CDNS,yfinance,OK,위키 CIK 일치
CDW,2019-09-23,,R1,1402057,CDW,yfinance,OK,위키 CIK 일치
CE,2018-12-24,2025-03-24,R3,1306830,CE,tiingo,OK,Celanese Corp - Series A · 후보6→정기보고서 있는 1
CEG,2022-02-02,,R1,1868275,CEG,yfinance,OK,위키 CIK 일치
CELG,2006-11-06,2019-11-21,R3,816284,CELG,tiingo,OK,Celgene Corp · 후보1→정기보고서 있는 1
CERN,2010-04-30,2022-06-08,R3,804753,CERN,tiingo,OK,Cerner Corp · 후보1→정기보고서 있는 1
CF,2008-08-27,,R1,1324404,CF,yfinance,OK,위키 CIK 일치
CFG,2016-02-01,,R1,759944,CFG,yfinance,OK,위키 CIK 일치
CHD,2015-12-29,,R1,313927,CHD,yfinance,OK,위키 CIK 일치
CHK,2006-03-03,2018-03-19,R3,895126,CHK,tiingo,OK,Chesapeake Energy Corp · 후보1→정기보고서 있는 1
CHRW,2007-03-02,,R1,1043277,CHRW,yfinance,OK,위키 CIK 일치
CHTR,2016-09-08,,R1,1091667,CHTR,yfinance,OK,위키 CIK 일치
CI,1996-01-02,,R1,1739940,CI,yfinance,OK,위키 CIK 일치
CIEN,2026-02-09,,R1,936395,CIEN,yfinance,OK,위키 CIK 일치
CINF,1997-12-18,,R1,20286,CINF,yfinance,OK,위키 CIK 일치
CL,1996-01-02,,R1,21665,CL,yfinance,OK,위키 CIK 일치
CLX,1996-01-02,,R1,21076,CLX,yfinance,OK,위키 CIK 일치
CMA,1996-01-02,2024-06-24,R3,28412,CMA,tiingo,OK,Comerica Inc · 후보1→정기보고서 있는 1
CMCSA,1996-01-02,,R1,1166691,CMCSA,yfinance,OK,위키 CIK 일치
CME,2006-08-11,,R1,1156375,CME,yfinance,OK,위키 CIK 일치
CMG,2011-04-28,,R1,1058090,CMG,yfinance,OK,위키 CIK 일치
CMI,1996-01-02,,R1,26172,CMI,yfinance,OK,위키 CIK 일치
CMS,1999-05-03,,R1,811156,CMS,yfinance,OK,위키 CIK 일치
CNC,2016-03-30,,R1,1071739,CNC,yfinance,OK,위키 CIK 일치
CNP,1996-01-02,,R1,1130310,CNP,yfinance,OK,위키 CIK 일치
CNX,2006-06-28,2016-03-04,R3,1070412,CNX,tiingo,OK,CNX Resources Corp · 후보1→정기보고서 있는 1
COF,1998-07-01,,R1,927628,COF,yfinance,OK,위키 CIK 일치
COG,2008-06-23,2021-10-04,R2,858470,CTRA,tiingo,OK,Coterra Energy · 후보1→정기보고서 있는 1
COHR,2026-03-23,,R1,820318,COHR,yfinance,OK,위키 CIK 일치
COIN,2025-05-19,,R1,1679788,COIN,yfinance,OK,위키 CIK 일치
COL,2001-07-02,2018-11-27,R3,1137411,COL,tiingo,OK,Rockwell Collins Inc · 후보1→정기보고서 있는 1
COO,2016-09-23,,R1,711404,COO,yfinance,OK,위키 CIK 일치
COP,1996-01-02,,R1,1163165,COP,yfinance,OK,위키 CIK 일치
COR,2023-08-30,,R1,1140859,COR,yfinance,OK,위키 CIK 일치
COST,1996-01-02,,R1,909832,COST,yfinance,OK,위키 CIK 일치
COTY,2016-10-03,2020-09-21,R3,1024305,COTY,tiingo,OK,Coty Inc - Class A · 후보1→정기보고서 있는 1
CPAY,2024-03-25,,R1,1175454,CPAY,yfinance,OK,위키 CIK 일치
CPB,1996-01-02,2026-06-22,R3,16732,CPB,tiingo,OK,Campbell Soup Company · 후보1→정기보고서 있는 1
CPGX,2015-07-02,2016-07-01,R3,1629995,CPGX,tiingo,OK,Columbia Pipeline Group Inc · 후보1→정기보고서 있는 1
CPRI,2016-01-04,2020-05-12,R3,1530721,CPRI,tiingo,OK,Capri Holdings Ltd · 후보2→정기보고서 있는 1
CPRT,2018-07-02,,R1,900075,CPRT,yfinance,OK,위키 CIK 일치
CPT,2022-04-04,,R1,906345,CPT,yfinance,OK,위키 CIK 일치
CRH,2025-12-22,,R1,849395,CRH,yfinance,OK,위키 CIK 일치
CRL,2021-05-14,,R1,1100682,CRL,yfinance,OK,위키 CIK 일치
CRM,2008-09-15,,R1,1108524,CRM,yfinance,OK,위키 CIK 일치
CRWD,2024-06-24,,R1,1535527,CRWD,yfinance,OK,위키 CIK 일치
CSCO,1996-01-02,,R1,858877,CSCO,yfinance,OK,위키 CIK 일치
CSGP,2022-09-19,,R1,1057352,CSGP,yfinance,OK,위키 CIK 일치
CSRA,2015-11-30,2018-04-04,R5,,,,UNREACHABLE,Tiingo 기간 2026-08-12~2026-09-24 이 구간을 못 덮음(재사용·잘림)
CSX,1996-01-02,,R1,277948,CSX,yfinance,OK,위키 CIK 일치
CTAS,2001-03-01,,R1,723254,CTAS,yfinance,OK,위키 CIK 일치
CTL,1999-03-25,2020-09-18,R2,18926,LUMN,tiingo,OK,Lumen Technologies · 후보2→정기보고서 있는 1
CTLT,2020-09-21,2024-12-23,R3,1596783,CTLT,tiingo,OK,Catalent Inc · 후보1→정기보고서 있는 1
CTRA,2021-10-04,2026-05-07,R3,858470,CTRA,tiingo,OK,Coterra Energy Inc · 후보1→정기보고서 있는 1
CTSH,2006-11-17,,R1,1058290,CTSH,yfinance,OK,위키 CIK 일치
CTVA,2019-06-03,,R1,1755672,CTVA,yfinance,OK,위키 CIK 일치
CTXS,1999-12-01,2022-10-03,R3,877890,CTXS,tiingo,OK,Citrix Systems Inc · 후보1→정기보고서 있는 1
CVC,2010-12-20,2016-06-21,R3,1053112,CVC,tiingo,OK,Cablevision Systems Corp · 후보1→정기보고서 있는 1
CVNA,2025-12-22,,R1,1690820,CVNA,yfinance,OK,위키 CIK 일치
CVS,1996-01-02,,R1,64803,CVS,yfinance,OK,위키 CIK 일치
CVX,1996-01-02,,R1,93410,CVX,yfinance,OK,위키 CIK 일치
CXO,2016-02-22,2021-01-21,R3,1358071,CXO,tiingo,OK,Concho Resources Inc · 후보2→정기보고서 있는 1
CZR,2021-03-22,2025-09-22,R3,1590895,CZR,tiingo,OK,Caesars Entertainment Inc · 후보3→정기보고서 최다 26건(차순 3)
D,1996-01-02,,R1,715957,D,yfinance,OK,위키 CIK 일치
DAL,2013-09-11,,R1,27904,DAL,yfinance,OK,위키 CIK 일치
DASH,2025-03-24,,R1,1792789,DASH,yfinance,OK,위키 CIK 일치
DAY,2024-02-01,2026-02-09,R3,1725057,DAY,tiingo,OK,Dayforce Inc · 후보2→정기보고서 있는 1
DD,1996-01-02,2017-09-01,R3,30554,DD,tiingo,OK,수동: 옛 E. I. du Pont de Nemours(2017-09 Dow 와 합병 전). Tiingo DD 는 1962~ 이어진 시계열이라 구간 끝(2017-09-01)에서 자른다
DD,2019-06-03,,R1,1666700,DD,yfinance,OK,위키 CIK 일치
DDOG,2025-07-09,,R1,1561550,DDOG,yfinance,OK,위키 CIK 일치
DE,1996-01-02,,R1,315189,DE,yfinance,OK,위키 CIK 일치
DECK,2024-03-18,,R1,910521,DECK,yfinance,OK,위키 CIK 일치
DELL,2024-09-23,,R1,1571996,DELL,yfinance,OK,위키 CIK 일치
DFS,2007-07-02,2025-05-19,R3,1393612,DFS,tiingo,OK,Discover Financial Services · 후보1→정기보고서 있는 1
DG,2012-12-03,,R1,29534,DG,yfinance,OK,위키 CIK 일치
DGX,2002-12-12,,R1,1022079,DGX,yfinance,OK,위키 CIK 일치
DHI,2005-07-05,,R1,882184,DHI,yfinance,OK,위키 CIK 일치
DHR,1998-11-18,,R1,313616,DHR,yfinance,OK,위키 CIK 일치
DIS,1996-01-02,,R1,1744489,DIS,yfinance,OK,위키 CIK 일치
DISCA,2010-03-01,2022-04-11,R2,1437107,WBD,yfinance,OK,Warner Bros. Discovery · 후보1→정기보고서 있는 1
DISCK,2014-08-07,2022-04-11,R3,1437107,DISCK,tiingo,OK,Warner Bros. Discovery Inc - Series C · 후보1→정기보고서 있는 1
DISH,2017-03-13,2023-06-20,R3,1001082,DISH,tiingo,OK,Dish Network Corp - Class A · 후보2→정기보고서 있는 1
DLR,2016-05-18,,R1,1297996,DLR,yfinance,OK,위키 CIK 일치
DLTR,2011-12-19,,R1,935703,DLTR,yfinance,OK,위키 CIK 일치
DNB,2008-12-02,2017-04-05,R5,,,,UNREACHABLE,Tiingo 기간 2020-07-01~2025-08-25 이 구간을 못 덮음(재사용·잘림)
DO,2009-02-26,2016-10-03,R5,,,,UNREACHABLE,Tiingo 기간 2022-03-30~2024-09-04 이 구간을 못 덮음(재사용·잘림)
DOC,2024-03-04,,R1,765880,DOC,yfinance,OK,위키 CIK 일치
DOV,1996-01-02,,R1,29905,DOV,yfinance,OK,위키 CIK 일치
DOW,1996-01-02,2017-09-01,R5,,,,UNREACHABLE,Tiingo 기간 2019-03-20~2026-09-24 이 구간을 못 덮음(재사용·잘림)
DOW,2019-04-02,,R1,1751788,DOW,yfinance,OK,위키 CIK 일치
DPZ,2020-05-12,,R1,1286681,DPZ,yfinance,OK,위키 CIK 일치
DRE,2017-07-26,2022-10-03,R3,783280,DRE,tiingo,OK,Duke Realty Corp · 후보2→정기보고서 있는 1
DRI,1996-01-02,,R1,940944,DRI,yfinance,OK,위키 CIK 일치
DTE,1996-01-02,,R1,936340,DTE,yfinance,OK,위키 CIK 일치
DUK,1996-01-02,,R1,1326160,DUK,yfinance,OK,위키 CIK 일치
DVA,2008-07-31,,R1,927066,DVA,yfinance,OK,위키 CIK 일치
DVN,2000-08-30,,R1,1090012,DVN,yfinance,OK,위키 CIK 일치
DWDP,2017-09-01,2019-06-03,R2,1666700,DD,yfinance,OK,DuPont de Nemours · 후보1→정기보고서 있는 1
DXC,2017-04-04,2023-10-02,R3,1688568,DXC,tiingo,OK,DXC Technology Company · 후보1→정기보고서 있는 1
DXCM,2020-05-12,,R1,1093557,DXCM,yfinance,OK,위키 CIK 일치
EA,2002-07-22,2026-08-05,R3,712515,EA,tiingo,OK,Electronic Arts Inc · 후보1→정기보고서 있는 1
EBAY,2002-07-22,,R1,1065088,EBAY,yfinance,OK,위키 CIK 일치
ECHO,2026-06-24,,R1,1415404,ECHO,yfinance,OK,위키 CIK 일치
ECL,1996-01-02,,R1,31462,ECL,yfinance,OK,위키 CIK 일치
ED,1996-01-02,,R1,1047862,ED,yfinance,OK,위키 CIK 일치
EFX,1997-06-19,,R1,33185,EFX,yfinance,OK,위키 CIK 일치
EG,2023-07-10,,R1,1095073,EG,yfinance,OK,위키 CIK 일치
EIX,1996-01-02,,R1,827052,EIX,yfinance,OK,위키 CIK 일치
EL,2006-01-05,,R1,1001250,EL,yfinance,OK,위키 CIK 일치
ELV,2022-06-28,,R1,1156039,ELV,yfinance,OK,위키 CIK 일치
EMC,1996-03-28,2016-09-07,R5,,,,UNREACHABLE,Tiingo 기간 2023-05-15~2026-09-24 이 구간을 못 덮음(재사용·잘림)
EME,2025-09-22,,R1,105634,EME,yfinance,OK,위키 CIK 일치
EMN,1996-01-02,2025-11-04,R3,915389,EMN,tiingo,OK,Eastman Chemical Company · 후보1→정기보고서 있는 1
EMR,1996-01-02,,R1,32604,EMR,yfinance,OK,위키 CIK 일치
ENDP,2015-01-27,2017-03-02,R4,1593034,ENDPQ,tiingo,OK,Endo International plc · 후보1→정기보고서 있는 1
ENPH,2021-01-07,2025-09-22,R3,1463101,ENPH,tiingo,OK,Enphase Energy Inc · 후보1→정기보고서 있는 1
EOG,2000-11-02,,R1,821189,EOG,yfinance,OK,위키 CIK 일치
EPAM,2021-12-14,2026-06-02,R3,1352010,EPAM,tiingo,OK,EPAM Systems Inc · 후보1→정기보고서 있는 1
EQIX,2015-03-23,,R1,1101239,EQIX,yfinance,OK,위키 CIK 일치
EQR,2001-12-03,2026-08-18,R3,906107,EQR,tiingo,OK,Vivmark Residential · 후보1→정기보고서 있는 1
EQT,2008-12-19,2018-11-13,R3,33213,EQT,tiingo,OK,EQT Corp · 후보2→정기보고서 있는 1
EQT,2022-10-03,,R1,33213,EQT,yfinance,OK,위키 CIK 일치
ERIE,2024-09-23,,R1,922621,ERIE,yfinance,OK,위키 CIK 일치
ES,2009-03-17,,R1,72741,ES,yfinance,OK,위키 CIK 일치
ESRX,2003-09-26,2018-12-21,R3,1532063,ESRX,tiingo,OK,Express Scripts Holding Company · 후보2→정기보고서 있는 1
ESS,2014-04-02,,R1,920522,ESS,yfinance,OK,위키 CIK 일치
ESV,2012-07-31,2016-03-30,R5,,,,UNREACHABLE,Tiingo 없음
ETFC,2004-04-01,2020-10-07,R3,1015780,ETFC,tiingo,OK,E TRADE Financial Corp · 후보1→정기보고서 있는 1
ETN,1996-01-02,,R1,1551182,ETN,yfinance,OK,위키 CIK 일치
ETR,1996-01-02,,R1,65984,ETR,yfinance,OK,위키 CIK 일치
ETSY,2020-09-21,2024-09-23,R3,1370637,ETSY,tiingo,OK,Etsy Inc · 후보1→정기보고서 있는 1
EVHC,2016-12-02,2018-10-11,R3,1678531,EVHC,tiingo,OK,Envision Healthcare Holdings Inc · 후보3→정기보고서 최다 8건(차순 5)
EVRG,2018-06-05,,R1,1711269,EVRG,yfinance,OK,위키 CIK 일치
EW,2011-04-01,,R1,1099800,EW,yfinance,OK,위키 CIK 일치
EXC,1996-01-02,,R1,1109357,EXC,yfinance,OK,위키 CIK 일치
EXE,2025-03-24,,R1,895126,EXE,yfinance,OK,위키 CIK 일치
EXPD,2007-10-10,,R1,746515,EXPD,yfinance,OK,위키 CIK 일치
EXPE,2007-10-02,,R1,1324424,EXPE,yfinance,OK,위키 CIK 일치
EXR,2016-01-19,,R1,1289490,EXR,yfinance,OK,위키 CIK 일치
F,1996-01-02,,R1,37996,F,yfinance,OK,위키 CIK 일치
FANG,2018-12-03,,R1,1539838,FANG,yfinance,OK,위키 CIK 일치
FAST,2008-09-15,,R1,815556,FAST,yfinance,OK,위키 CIK 일치
FB,2013-12-23,2022-06-09,R2,1326801,META,yfinance,OK,Meta Platforms · 후보1→정기보고서 있는 1
FBHS,2016-06-24,2022-12-19,R2,1519751,FBIN,tiingo,OK,Fortune Brands Innovations · 후보1→정기보고서 있는 1
FCX,1996-01-02,,R1,831259,FCX,yfinance,OK,위키 CIK 일치
FDS,2021-12-20,,R1,1013237,FDS,yfinance,OK,위키 CIK 일치
FDX,1996-01-02,,R1,1048911,FDX,yfinance,OK,위키 CIK 일치
FDXF,2026-06-01,,R1,2082247,FDXF,yfinance,OK,위키 CIK 일치
FE,1996-01-02,,R1,1031296,FE,yfinance,OK,위키 CIK 일치
FERG,2026-08-05,,R1,2011641,FERG,yfinance,OK,위키 CIK 일치
FFIV,2010-12-20,,R1,1048695,FFIV,yfinance,OK,위키 CIK 일치
FI,2023-06-07,2025-11-11,R2,798354,FISV,yfinance,OK,Fiserv · 후보1→정기보고서 있는 1
FICO,2023-03-20,,R1,814547,FICO,yfinance,OK,위키 CIK 일치
FIS,2006-11-10,,R1,1136893,FIS,yfinance,OK,위키 CIK 일치
FISV,2001-04-02,2023-06-07,R3,798354,FISV,tiingo,OK,Fiserv Inc · 후보1→정기보고서 있는 1
FISV,2025-11-11,,R1,798354,FISV,yfinance,OK,위키 CIK 일치
FITB,1996-03-08,,R1,35527,FITB,yfinance,OK,위키 CIK 일치
FIX,2025-12-22,,R1,1035983,FIX,yfinance,OK,위키 CIK 일치
